,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
529161,529162,B001EQ53HY,A29K2LSBJ2NGA3,PennyPincherP,0,0,5,1287446400,"Get Some, you'll like it.","Has a clean fruity peach flavor that doesn't go flat like the Lemonade.  Takes a bit to dissolve completely so be patient, it's worth it.  I'm not a big ice tea fan in general but this has been a great substitute for diet colas.  Very economical and green as I don't need to drive to the store constantly and pay CRV on plastic bottles.  Doesn't require storage/handling like the 2 liter bottles either.  If they had sleeves like the ""On the Go"" variant instead of the tubs, it would be perfect."
138553,138554,B0089SPENI,A1E3Q5AGQZV3JS,Theresa Houghton,0,0,5,1311811200,Delicious,"We got this as a sample in our new keurig elite. I plan on buying many more! Even my 6 year old likes drinking this with me. If you like tea, you can't go wrong with this!"
273126,273127,B007PA33NY,A11QR5AV5SBVVV,dgraves,0,1,1,1293321600,"Very bitter, burnt",I was hopeful that this would be a good cup.  What I received was a very bitter cup with a very bad aftertaste.  I had to throw it out after a few sips.  This reminds me of the burnt beans that Starbucks roasts.  I am a an of strong coffee but not when the flavor is reached by burning the beans so badly that all you taste is the bitterness.  No thanks Emeril.
400765,400766,B000N99C1Q,A10Z51XLV63OA6,Brian Rose,1,1,5,1337644800,Good germination rate,"I've planted about 30 seeds so far, and I'd estimate a near 100% germination rate. What else could you ask for?"
562371,562372,B009AFJ548,A1M1V4Y9Q5Z2CQ,elaineintokyo,0,0,4,1313539200,ideal brown sugar substitute,"I love ideal brown sugar substitute. Because it is from sugar alcohols it is natural, and unlike sorbitol or maltitol based substitutes, it doesn't affect my stomach. I use it on oatmeal and in baking to cut down on carbs. There is no aftertaste. My only complaint is that it is not clumpy like real brown sugar and that can sometimes affect baked goods, but so far I have had no problems with it!"
73139,73140,B004NNJUZG,A7B49JA8ZZ1RQ,D M Burke,0,0,5,1347321600,best cookie to eat,the taste is great and the nutrition is good.  I recommend it. I also like some other flavors and Cliff bars.
557827,557828,B000FEDH7E,AB3Z160I0H8IT,electronics_buyer,3,3,4,1215561600,Great,"So far there haven't been any worms in my rice though I've only opened a couple of the boxes. Besides just being boxed up, the rice has a thick plastic bag protecting it from any worms. I just wanted to up the rating of this a little because it does seem to be the cheapest wild rice on amazon even though the boxes are tiny."
466661,466662,B0019L8JSO,AVJV35095JH71,"Lucy S. ""book""",0,0,3,1350432000,"Good, but a little pricey.","Good, but a little pricey. After I bought this one I found much cheaper one on Swanson Vitamins site. I would recommend to check other places for better price."
147103,147104,B001EJNF3U,A2VBFSUBD8YOH5,"G. Patterson ""KnitCrazy""",0,0,5,1330646400,The tea they serve at PF Changs!,"I discovered this tea at PF Changs and had to have some!. I like it hot and I use it to make ice tea. I love it!!! It taste like peaches and apricots, but, not to overwhelming! I highly recommend it, even though it's spendy."
228527,228528,B0001M0ZWA,A24HQWVDBJ5ZT5,Dennis C. Rahn,0,0,2,1290729600,Was disappointed with the anise taste.,I looked forward to this tea and I don't know why.  I was disappointed in the flavor and I have made better tea myself by adding a drop of Anise candy flavoring to green tea.
98829,98830,B008C9XAOE,A1BZU6W5R6L5X9,Lrody,0,0,5,1350086400,Carmel bits,"These are great for baking. They are creamer then the Carmel squares when you melt them and you do not have to unwrap them. I use them when I make Pecan Carmel Bars, they are great."
166669,166670,B004F27F5C,A1Z82P1BZWOJ38,maevictoria,3,23,1,1325808000,90. for two glass jars and some tea. no thanks.,it's so unique getting the scoby that it's not even in the packaging and i don't care what the reason is. you can't show a picture and then the product that<br />i'm paying money for isn't in the packaging. i came to my senses since you can by a scoby for how much? i like to be fooled and maybe you do too. so please go<br />blow 45 dollars on a glass jar to then be told of some free claim for a scoby. no thanks.
437688,437689,B005A1LGIY,A2EHYCA29NSQLU,Bud,0,0,4,1318204800,100% Jolly Rancher Sour Apple,"If you are wondering what this tastes like, it tastes 100% just like Jolly Rancher sour apple candy, only in a drink version.  For better or worse, the flavor is good but artificial.  It is somewhat refreshing, but I think about 6 ounces (about a juice glass) is the right amount.  I think if I drank a whole lot at once, I would get sick of it.<br /><br />Each package contains 5 packets which each make 2 quarts -- which is 2-1/2 gallons which is a lot.  4 packs = 10 gallons or about two dollars or so per gallon -- rather inexpensive.<br /><br />It is utterly simple to make.  The top of the packet easily tears off, and it is long and skinny to easily pour into any 1/2 gallon jar, bottle, etc.  It dissolves fairly rapidly.  Also, the plastic shrink-wrap easily removes/falls off, so you can reuse the oval container for whatever you want."
295709,295710,B003WLC4VC,A3NOI79B227R9Z,samanthafarris,1,1,4,1321228800,Very good!,"I bought these not realizing that they were not the regular CLIF bars...I should have known because they are much too cheap the original ones, but I was pleasantly surprised with these... they come in packs of two, and they are like a regular granola bar as compared to the soft/chewy consistency of the original CLIF bars. I loved these though, and the white chocolate macadamia nut was so yummy! I would definitely buy these again! Great value. But very messy, so definitely not recommended for a breakfast while in the car! ha :)"
150083,150084,B003YBP6Q0,A3JUEVZ1339WL7,kkw,1,1,5,1335052800,GoPicnic RTE meals are great!,Hummus meal is a favorite! Everything is good.  I sent a pack of 6 to my daughter.  She likes them for a quick lunch at work or when she can't get back to the dorm in time for dinner.  I like them anytime! Highly recommended.
