,Text
0,"Has a clean fruity peach flavor that doesn't go flat like the Lemonade.  Takes a bit to dissolve completely so be patient, it's worth it.  I'm not a big ice tea fan in general but this has been a great substitute for diet colas.  Very economical and green as I don't need to drive to the store constantly and pay CRV on plastic bottles.  Doesn't require storage/handling like the 2 liter bottles either.  If they had sleeves like the ""On the Go"" variant instead of the tubs, it would be perfect."
1,"We got this as a sample in our new keurig elite. I plan on buying many more! Even my 6 year old likes drinking this with me. If you like tea, you can't go wrong with this!"
2,I was hopeful that this would be a good cup.  What I received was a very bitter cup with a very bad aftertaste.  I had to throw it out after a few sips.  This reminds me of the burnt beans that Starbucks roasts.  I am a an of strong coffee but not when the flavor is reached by burning the beans so badly that all you taste is the bitterness.  No thanks Emeril.
3,"I've planted about 30 seeds so far, and I'd estimate a near 100% germination rate. What else could you ask for?"
4,"I love ideal brown sugar substitute. Because it is from sugar alcohols it is natural, and unlike sorbitol or maltitol based substitutes, it doesn't affect my stomach. I use it on oatmeal and in baking to cut down on carbs. There is no aftertaste. My only complaint is that it is not clumpy like real brown sugar and that can sometimes affect baked goods, but so far I have had no problems with it!"
5,the taste is great and the nutrition is good.  I recommend it. I also like some other flavors and Cliff bars.
6,"So far there haven't been any worms in my rice though I've only opened a couple of the boxes. Besides just being boxed up, the rice has a thick plastic bag protecting it from any worms. I just wanted to up the rating of this a little because it does seem to be the cheapest wild rice on amazon even though the boxes are tiny."
7,"Good, but a little pricey. After I bought this one I found much cheaper one on Swanson Vitamins site. I would recommend to check other places for better price."
8,"I discovered this tea at PF Changs and had to have some!. I like it hot and I use it to make ice tea. I love it!!! It taste like peaches and apricots, but, not to overwhelming! I highly recommend it, even though it's spendy."
9,I looked forward to this tea and I don't know why.  I was disappointed in the flavor and I have made better tea myself by adding a drop of Anise candy flavoring to green tea.
10,"These are great for baking. They are creamer then the Carmel squares when you melt them and you do not have to unwrap them. I use them when I make Pecan Carmel Bars, they are great."
11,it's so unique getting the scoby that it's not even in the packaging and i don't care what the reason is. you can't show a picture and then the product that<br />i'm paying money for isn't in the packaging. i came to my senses since you can by a scoby for how much? i like to be fooled and maybe you do too. so please go<br />blow 45 dollars on a glass jar to then be told of some free claim for a scoby. no thanks.
12,"If you are wondering what this tastes like, it tastes 100% just like Jolly Rancher sour apple candy, only in a drink version.  For better or worse, the flavor is good but artificial.  It is somewhat refreshing, but I think about 6 ounces (about a juice glass) is the right amount.  I think if I drank a whole lot at once, I would get sick of it.<br /><br />Each package contains 5 packets which each make 2 quarts -- which is 2-1/2 gallons which is a lot.  4 packs = 10 gallons or about two dollars or so per gallon -- rather inexpensive.<br /><br />It is utterly simple to make.  The top of the packet easily tears off, and it is long and skinny to easily pour into any 1/2 gallon jar, bottle, etc.  It dissolves fairly rapidly.  Also, the plastic shrink-wrap easily removes/falls off, so you can reuse the oval container for whatever you want."
13,"I bought these not realizing that they were not the regular CLIF bars...I should have known because they are much too cheap the original ones, but I was pleasantly surprised with these... they come in packs of two, and they are like a regular granola bar as compared to the soft/chewy consistency of the original CLIF bars. I loved these though, and the white chocolate macadamia nut was so yummy! I would definitely buy these again! Great value. But very messy, so definitely not recommended for a breakfast while in the car! ha :)"
14,Hummus meal is a favorite! Everything is good.  I sent a pack of 6 to my daughter.  She likes them for a quick lunch at work or when she can't get back to the dorm in time for dinner.  I like them anytime! Highly recommended.
15,"I ended up comparing the value of this item, a little too late, after I had paid for it.  The size was wrong, the cost was ridiculous in comparison to any other<br />places selling the correct items.  You live and learn, I suppose."
16,"I'm a big fan of chicken tikka masala, and being far from any restaurants I searched and searched for something I could just reheat and chow down on.  I'd tried the Jyoti and found it tasted much to similar to MREs for my taste.<br />This stuff actually tastes like chicken tikka masala.  It's not perfect, but it's close enough.<br /><br />The biggest problem I had with it was the fact that they ship it with dry ice, and when that all evaporated... the boxes got soggy.  Compound this with the fact that the adhesive keeping the plastic covering on the bowl has the strength of watered down elmer's glue... I was in for a nasty mess when I opened the box.  So, out of the 12, I lost about three.<br /><br />I'm sure had I not shipped it all the way out to Iraq, they would have made it frozen and intact.  I'll probably end up buying more of these though."
17,"all natural,dogs favorite treat. Don't give too many because it will constipate dog. My dogs will do anything for these treats!"
18,"when you can't make your own or don't have the time this is perfect!<br />There are minimal ingredients, no preservatives.<br />I use it for this crock pot chicken [...]"
19,"If you like coconut water, this is for you! I had bought this product at a local market to try, while having chemo. Turns out the more i drank, the more i wanted! It has potassium in it, and some chemo makes you potassium deficient. So, i felt better drinking this product,along with lots of water, to say hydrated."
20,"Dave's Gourmet is known for its punchy hot sauces, but its pasta sauces are underrated... especially this one. Made in San Francisco from butternut squash harvested in Oregon's Willamette Valley, it's at once savory and sweet. It has such a filling flavor that even Parmesan cheese is beside the point. It's a great topping for gnocchi,pasta,etc. It's a wonderfully autumnal sauce. Bon appetit!"
21,"Not generally a huge fan of candy bars. I don't hate them, I just don't love them with the exception of reeses related products. I prefer nutrageous over fast break and crispy crunchy. This has become hard to find but I still saw them at Lewis today.  Also like reeses sticks and obviously, peanut butter cups."
22,"I bought a box of Drake's Devil Dogs. Unfortunately, the creme filling is some kind of cornstarch pudding mixture; very disappointing. We've enjoyed the original recipe for 50 yrs. I would not buy another box now."
23,"Please stay away from this product. I bought 3 of them, first one broke while it was hunging the first night i put it out.<br />Second one, lasted 2 weeks and trapped about 20 flies.<br />Material looks and feels cheap. Why did i ever buy this thing. Can't return the 3rd one because shipping will be more that the actual unit.<br />What a waist of time and money!"
24,"I'm addicted to Hershey chocolate; I admit it, but be warned, don't order this in the summertime unless you like chocolate goo."
25,"Each box has 5 sticks. Each stick is covered with chocolate sprinkles, and there's about 3 chambers which is filled with chocolate filling on the top and some sort of white filling on the bottom. This chocolate is extremely delicious.<br /><br />The crunchiness and the softness combine in a creamy paradise in your mouth.<br /><br />If you like this, you'll probably like Kinder Bueno as well."
26,"I loved the Tazo Organic Chai spiced black tea (at first). I brewed it a cup of hot water, no sweeteners. The tastes was good, it gave me a calming feeling, I felt mentally sharp, and could focus. However, the bad news is that 12 hours later, I could not sleep at night! I watched the clock tick all night long. After two days of this, I suspected the tea (as the only thing different in my routine). Since I have a personal and family history of hypertension (although under control by diet, medication, and exercise), I checked by BP that morning when I could not sleep: 148/98 and a pulse of 98! Something in that tea (I suspect) is interacting with my system. I don't ever want to go through this before., Has anyone else experienced this???"
27,"Vermont Country Blend is my favorite K-Cup. However, There were 2 different selections. Box of 24 for $24.25 and Box of 24 (Pack of 2) for $25.38.<br />I didn't see the (Pack of 2) for $1.13 more. Bummer!"
28,"Great item has many uses! I use it in my hair, on my body as a moisturizer, in my food and also as a supplement. It's the best and for a very good price."
29,"Having to drink decaf is easier with a hearty,bold , yet not bitter coffee ! Closest to Starbucks decaf if you like that type of stronger flavor. Have tried a lot of k-kup decafs and this is the best yet."
30,"I love the way I feel drinking <a href=""http://www.amazon.com/gp/product/B00566HYH0"">Energy Green SuperFood Powder- 100 Servings - 24.7 oz - Powder</a> I buy this big one to refill my small one<a href=""http://www.amazon.com/gp/product/B003TJERRG"">Amazing Grass Energy Green Superfood Lemon Lime Flavor, 7.4-Ounce Tub</a>. This is more convenient to get into for my daily drinks. Then i keep the big one in the fridge and the little one i leave out. It does dry out some by the end of the week. Its just much easier for me.<br /><br /> I love the boost of energy i get from this drink.I have been out for a couple days and definitely notice a drop in my energy.The energy is not a jolt like caffeine but more like a natural feeling of well being with a kick of endurance. I feel Amazing on this stuff.<br /><br />  I also drink the chocolate. <a href=""http://www.amazon.com/gp/product/B001J9LX48"">Amazing Grass Chocolate Drink Powder, Green Superfood, 17-Ounce Container</a>It has amazing health benefits and has brought my PH into the normal range. without the chocolate my PH came up but not to normal.."
31,"Shipped fast and packed well. This is a terrific cereal bar and low cal. It has a great taste and texture. everyone who tries them, loves them. Can't wait to try another flavor."
32,"I love these cookie - I mean biscuits.  Not only are they tasty, there is something about the texture that makes them especially yummy.  I ordered the seven pack and they all came nicely wrapped with very minimal breakage."
33,"As a very health oriented person I've never really been very interested in normal coffee, but have at various times dabbled in different coffee alternatives.<br /><br />Although many of the other coffee alternatives aren't bad, I can't really say that I was all that interested in them. Where Ayurvedic Roast is different, is that I really enjoy drinking it; it has a wonderful vanilla aroma, and a deep rich flavor.<br /><br />Interestingly enough, my mom, who very much _is_ a coffee drinker actually really likes it too, so I always make sure to keep a good amount in stock in case she comes by :)"
34,"It has been over three weeks and I still have not received this product.  And, they have charged me for it already..."
35,"If you are looking for a protein fill drink, full of good karma, this is for you.  I love Chai.  If you love Chai, that spicy, sweet goodness in a glass, then you are going to go nuts for this drink.  I like their other flavors, but this one is definitely the best!"
36,I am a coffee addict.  Yet the jitters can really detract from my work - both professionally and at home.  This tea provides the kick to keep me going without the jitters.<br /><br />I love this stuff.
37,It's bland while you're drinking it without any real chocolate or hazelnut flavor and leaves a horrible aftertaste once you've drank it.
38,I have tried many pre-workouts and there are only a few that I trust for quality. It provides a great pump and energy to make it through my workouts without making me jittery. It might not give you the rage feeling like Noxipro or 1MR but I sleep better at night knowing what I am putting in my body. I switch between this and Muscle Pharm's Assault.
39,It is probably the only falafel that a celiac can eat and it is so delicious.
40,Good to purchase in a larger quantity! Ease for keeping supplies in stock! Easy to obtain from Amazon without a third party involved.  Got to use my free shipping - yea.
41,"My daughter loves these - she has celiac disease and really loves having ""normal"" mainstream foods. They are great for gluten free rice krispie treats!"
42,"I found this to be a very smooth and somewhat rich coffee.  Very enjoyable with good flavor, but not with a lot of depth or darkness.  Ethiopia has produced some of the best coffee in the world, and while this may not be the best I have ever tasted, it is a very good medium roast, full flavored coffee without a lot of bitterness.  This is the best cup of pod coffee I have tasted so far.<br /><br />In addition to the pod brewer, I also tried this coffee pod in a pour-through basket with boiling water and also steeping it like a cup of tea and found that the flavor was pretty consistent, if not better when brewed outside of the pod brewer (I was able to steep the coffee much stronger and to higher yield in a cup with boiling water -but slower than the pod brewer).  The pods are marked with which side up/down and should be tucked down tight in the pod brewer for the best results.  Each pod is individually wrapped airtight, and tasted as fresh as any other pre-ground or pod coffee I have tried.  Sustainably grown."
43,"The smell and taste of the Lickety Stik was an instant success with our dog.<br />But the dispensing ball dosen't move easily, very much of the time,<br />and it's a nuisance for us to keep helping the ball turn for our dog to get this treat.<br />We get more on our hands then our Golden gets in his mouth.<br />When we try to turn the ball for our dog, even we find it difficult.<br /><br />The roller BALL is a concern, we don't consider it 'pet safe'.<br />If our Golden Retriver got this bottle,<br />he could easily bite this roller ball out and would try to eat it.<br /><br />The ball requires a strong tounge to move it, even at that it gets stuck.<br />We can't imagine this stik being at all compatible with small dogs.<br />If you squeeze the bottle to force the liquid out around the ball<br />most of that drops to the ground between licks.<br /><br />This would be a great idea if it worked, and was truely 'pet safe'."
44,I don't know why you can't find these much any more. When I do I stock up. I hate the sweet candy coated PopTarts as you find mostly today. Both the product and the service from Amazon were great.
45,Love the rich flavor and good taste.  Strong but not bitter.  Would also recommend Starbuck Cafe Verona which is fabulous.  Never was a Starbuck's fan but this kcup won me over.
46,"Wow!  I cannot believe that so much<br /><br />good healthy stuff could be in such<br /><br />a small package! The calorie count,<br /><br />etc. would help others choose this<br /><br />unique food bar."
47,"Bought these after reading the reviews.  They are tasty (a little strange at first but they really grow on you).  One nice thing is that for me, I can eat them as a chip alternative but I don't eat too many.  About 10-15 crisps and I'm done.  I have also used them in salads.<br /><br />I bought a case here and I don't think I'll do that again.  I've seen them at my grocery store and I'll buy a bag now and then.  For now I have a big box full in the closet.  I think it will take a while to get through them."
48,"I opened one of these terra chip bags and to my surprise, 6 crummy pieces of broken chips were in there. Not even 6 whole chips. 6 chip fragments. Plus, the chips looked totally stale. I returned the bag to the store immediately upon opening it."
49,"I have found the plant sterol margarines and the Benecol chews leave a horrible waxy film in my mouth. These cookies are really great - they taste good and no wax. They are a bit grainy but the flavor is really good and there are lots of chocolate chips, which really makes up for the graininess. 1.3 g of of plant sterols, 4 g of soluble fiber, 4 WW Pts+."
50,"this is what smoked meat in montreal tastes like - it's nor pastrami or corned beef. it comes in 5 packets so it stays fresh. all the information is in the description so i'm not sure what the confusion is. if you're looking for really good montreal smoked meat, here it is."
51,"Amazon shipped this quick, but the carton was a little damaged on the corner but didn't affect the cake, so I kept it. The cake was not that fresh compared to the ones I bought while traveling in the Caribbean, it was kinda dry. The taste was good but the orange was overpowering so you really didn't taste much of the rum. I would not order again this one."
52,"According to the manufacture the xylitol used in this gum is produced in the USA from birch, not GMO corn from China. This gum has a pleasant taste it is not too strong or over powering. Xyloburst, like most xylitol gum does not have long lasting flavor, but it does last long enough and it does not get rock hard once the flavor is gone so you can chew it for a while. The gum does a great job of controlling  bad breath/ refreshing your breath after meals. The added oral hygiene benefits you get from the xylitol is also a plus. I have been chewing this gum for a while and I have nothing bad to report,"
53,"Unless you really really really like vinegar - AVOID! Those chips should have been called ""Vinegar and Sea Salt"" - not ""Sea Salt and Vinegar""."
54,"I order dozens of products from Amazon every month and this is the first time I truly am compelled to review a product I had purchased.<br /><br />Wow. How difficult is it really to mess up a chewing gum? Well, this gum is plain disgusting. Within seconds it melts in your mouth into gooey mess that stick to your teeth and tongue. I tried using 2-3 pieces at the time, and the results was even worse. Unsure if I was given an old batch, but after I tried 10 pieces, I tossed the rest. By far the worst purchase I had ever made on Amazon. Gross.  What a waste of money."
55,"This is truly a wonderful experience in a cup.  I absolutely love this coffee.  Folgers hasn't failed me yet.  Chocolate Truffle not only smells delicious but TASTES delicious.  After trying a few other brands from online purchases that were a complete letdown, I have to say my tastebuds have been redeemed.  3 12oz bags for $16 and change is is good buy for flavored coffee.  I'll be back for more.  Thanks Folgers and thank you Amazon for providing customers a Folger's selection thanks really good."
56,"I ordered this for my son's birthday party, which was bumblebee themed. We gave them as favors to all the kids, and the parents thought they were so cleverly packaged in the bumblebee foil. We were getting nervous about delivery, but customer service was great, and they arrived in time!"
57,"i actually prefer their ""original"" blend, but that's just me.  consumer reports rated this product EXTREMELY highly, and they were right.  bokar blend also good.  my new standard.  AVOID PRETENTIOUS CRAP.  so unpretentious and uncool it's almost pretentious and cool."
58,Got this for my granddaughter who loves this food and goes nuts when she sees the box.  I recommend this snack over the normal mushy stuff that's out there even though this is not a good teething biscuit.  Granddaughter likes to practice biting so this is great.  We don't have to worry about choking; it melts fairly quickly in the mouth.  Enjoy. It comes in different flavors too.
59,"I have been using this flavor wheatgerm for 37 years and now find myself living in an area where it is not sold anywhere. I have asked 2 managers of 2 different grocery stores to order it for me and they said they couldn't. When I was in Florida a couple of years ago I bought every jar they had in the local grocery store just so I would have it for awhile. A few months ago I ran out and decided to see if it was on Amazon never imagining it actually was. I was so pleasantly suprised to find it here. Now I never have to worry about running out again! My son and I use this product to sprinkle on stew, mashed potatoes, macaroni and cheese and macaroni salad. It adds a nice flavor and texture. It is a staple in my life just as much as pepper or ketchup."
60,I CANT REVIEW THIS FOOD...BECAUSE THE KIBBLE SIZE IS  H  U  G  E<br />UNLESS YOU HAVE A GIGANTIC DOG....I DO NOT THINK YOUR SM-MED DOG WILL WANT TO CHEW THESE! IM SO UPSET BECAUSE THEY LOVE THE CAN OF THIS WANTED TO MIX THE SAME AS CAN WITH THE DRY!
